"Bss Commerce", "Bss Commerce"
"Product Custom Tabs", "Product Custom Tabs"
"General Configuration", "General Configuration"
"Enabled", "Enabled"
"Disabled", "Disabled"
"Enable Product Recommendation Blocks", "Enable Product Recommendation Blocks"
"Choose to enable/disable the related, up-sell, and cross-sell products by default.", "Choose to enable/disable the related, up-sell, and cross-sell products by default."
"Product Custom Tabs By BSS", "Product Custom Tabs By BSS"
"List Product Custom Tabs", "List Product Custom Tabs"
"Delete Product Custom Tabs", "Delete Product Custom Tabs"
"Save Product Custom Tabs", "Save Product Custom Tabs"
"Bss Product Custom Tabs", "Bss Product Custom Tabs"
"Edit Tab", "Edit Tab"
"Assign To Product", "Assign To Product"
"Active", "Active"
"Title", "Title"
"Content", "Content"
"Customer Groups", "Customer Groups"
"Position", "Position"
"Related, Up-sell, Cross-Sell", "Related, Up-sell, Cross-Sell"
"Show Related Products", "Show Related Products"
"Show Up-sell Products", "Show Up-sell Products"
"Show Cross-sell Products", "Show Cross-sell Products"
"Assign Attributes", "Assign Attributes"
"Attribute Code", "Attribute Code"
"Label", "Label"
"Delete", "Delete"
"Enable", "Enable"
"Disable", "Disable"
"Status", "Status"
"Tab Title", "Tab Title"
"Visible for Purchasing Customers Only", "Visible for Purchasing Customers Only"
"edit", "edit"
